AMZN,Date,Close
AMZN,1/4/2016 16:00:00,31.85
AMZN,1/5/2016 16:00:00,31.69
AMZN,1/6/2016 16:00:00,31.63
AMZN,1/7/2016 16:00:00,30.4
AMZN,1/8/2016 16:00:00,30.35
AMZN,1/11/2016 16:00:00,30.89
AMZN,1/12/2016 16:00:00,30.89
AMZN,1/13/2016 16:00:00,29.09
AMZN,1/14/2016 16:00:00,29.65
AMZN,1/15/2016 16:00:00,28.51
AMZN,1/19/2016 16:00:00,28.72
AMZN,1/20/2016 16:00:00,28.59
AMZN,1/21/2016 16:00:00,28.75
AMZN,1/22/2016 16:00:00,29.82
AMZN,1/25/2016 16:00:00,29.83
AMZN,1/26/2016 16:00:00,30.06
AMZN,1/27/2016 16:00:00,29.17
AMZN,1/28/2016 16:00:00,31.77
AMZN,1/29/2016 16:00:00,29.35
AMZN,2/1/2016 16:00:00,28.74
AMZN,2/2/2016 16:00:00,27.61
AMZN,2/3/2016 16:00:00,26.55
AMZN,2/4/2016 16:00:00,26.81
AMZN,2/5/2016 16:00:00,25.11
AMZN,2/8/2016 16:00:00,24.41
AMZN,2/9/2016 16:00:00,24.1
AMZN,2/10/2016 16:00:00,24.52
AMZN,2/11/2016 16:00:00,25.19
AMZN,2/12/2016 16:00:00,25.35
AMZN,2/16/2016 16:00:00,26.06
AMZN,2/17/2016 16:00:00,26.71
AMZN,2/18/2016 16:00:00,26.25
AMZN,2/19/2016 16:00:00,26.75
AMZN,2/22/2016 16:00:00,27.98
AMZN,2/23/2016 16:00:00,27.65
AMZN,2/24/2016 16:00:00,27.7
AMZN,2/25/2016 16:00:00,27.76
AMZN,2/26/2016 16:00:00,27.76
AMZN,2/29/2016 16:00:00,27.63
AMZN,3/1/2016 16:00:00,28.95
AMZN,3/2/2016 16:00:00,29.01
AMZN,3/3/2016 16:00:00,28.87
AMZN,3/4/2016 16:00:00,28.76
AMZN,3/7/2016 16:00:00,28.14
AMZN,3/8/2016 16:00:00,28.01
AMZN,3/9/2016 16:00:00,27.97
AMZN,3/10/2016 16:00:00,27.95
AMZN,3/11/2016 16:00:00,28.48
AMZN,3/14/2016 16:00:00,28.67
AMZN,3/15/2016 16:00:00,28.85
AMZN,3/16/2016 16:00:00,28.71
AMZN,3/17/2016 16:00:00,27.97
AMZN,3/18/2016 16:00:00,27.6
AMZN,3/21/2016 16:00:00,27.7
AMZN,3/22/2016 16:00:00,28.02
AMZN,3/23/2016 16:00:00,28.48
AMZN,3/24/2016 16:00:00,29.15
AMZN,3/28/2016 16:00:00,28.99
AMZN,3/29/2016 16:00:00,29.69
AMZN,3/30/2016 16:00:00,29.93
AMZN,3/31/2016 16:00:00,29.68
AMZN,4/1/2016 16:00:00,29.93
AMZN,4/4/2016 16:00:00,29.66
AMZN,4/5/2016 16:00:00,29.31
AMZN,4/6/2016 16:00:00,30.1
AMZN,4/7/2016 16:00:00,29.57
AMZN,4/8/2016 16:00:00,29.73
AMZN,4/11/2016 16:00:00,29.8
AMZN,4/12/2016 16:00:00,30.16
AMZN,4/13/2016 16:00:00,30.74
AMZN,4/14/2016 16:00:00,31.04
AMZN,4/15/2016 16:00:00,31.29
AMZN,4/18/2016 16:00:00,31.77
AMZN,4/19/2016 16:00:00,31.4
AMZN,4/20/2016 16:00:00,31.65
AMZN,4/21/2016 16:00:00,31.55
AMZN,4/22/2016 16:00:00,31.03
AMZN,4/25/2016 16:00:00,31.31
AMZN,4/26/2016 16:00:00,30.84
AMZN,4/27/2016 16:00:00,30.33
AMZN,4/28/2016 16:00:00,30.1
AMZN,4/29/2016 16:00:00,32.98
AMZN,5/2/2016 16:00:00,34.19
AMZN,5/3/2016 16:00:00,33.57
AMZN,5/4/2016 16:00:00,33.55
AMZN,5/5/2016 16:00:00,32.95
AMZN,5/6/2016 16:00:00,33.7
AMZN,5/9/2016 16:00:00,33.99
AMZN,5/10/2016 16:00:00,35.15
AMZN,5/11/2016 16:00:00,35.66
AMZN,5/12/2016 16:00:00,35.9
AMZN,5/13/2016 16:00:00,35.5
AMZN,5/16/2016 16:00:00,35.53
AMZN,5/17/2016 16:00:00,34.76
AMZN,5/18/2016 16:00:00,34.87
AMZN,5/19/2016 16:00:00,34.93
AMZN,5/20/2016 16:00:00,35.14
AMZN,5/23/2016 16:00:00,34.84
AMZN,5/24/2016 16:00:00,35.21
AMZN,5/25/2016 16:00:00,35.42
AMZN,5/26/2016 16:00:00,35.75
AMZN,5/27/2016 16:00:00,35.61
AMZN,5/31/2016 16:00:00,36.14
AMZN,6/1/2016 16:00:00,35.97
AMZN,6/2/2016 16:00:00,36.41
AMZN,6/3/2016 16:00:00,36.28
AMZN,6/6/2016 16:00:00,36.34
AMZN,6/7/2016 16:00:00,36.19
AMZN,6/8/2016 16:00:00,36.33
AMZN,6/9/2016 16:00:00,36.38
AMZN,6/10/2016 16:00:00,35.9
AMZN,6/13/2016 16:00:00,35.76
AMZN,6/14/2016 16:00:00,35.97
AMZN,6/15/2016 16:00:00,35.71
AMZN,6/16/2016 16:00:00,35.88
