META,Date,Close
META,1/4/2016 16:00:00,102.22
META,1/5/2016 16:00:00,102.73
META,1/6/2016 16:00:00,102.97
META,1/7/2016 16:00:00,97.92
META,1/8/2016 16:00:00,97.33
META,1/11/2016 16:00:00,97.51
META,1/12/2016 16:00:00,99.37
META,1/13/2016 16:00:00,95.44
META,1/14/2016 16:00:00,98.37
META,1/15/2016 16:00:00,94.97
META,1/19/2016 16:00:00,95.26
META,1/20/2016 16:00:00,94.35
META,1/21/2016 16:00:00,94.16
META,1/22/2016 16:00:00,97.94
META,1/25/2016 16:00:00,97.01
META,1/26/2016 16:00:00,97.34
META,1/27/2016 16:00:00,94.45
META,1/28/2016 16:00:00,109.11
META,1/29/2016 16:00:00,112.21
META,2/1/2016 16:00:00,115.09
META,2/2/2016 16:00:00,114.61
META,2/3/2016 16:00:00,112.69
META,2/4/2016 16:00:00,110.49
META,2/5/2016 16:00:00,104.07
META,2/8/2016 16:00:00,99.75
META,2/9/2016 16:00:00,99.54
META,2/10/2016 16:00:00,101
META,2/11/2016 16:00:00,101.91
META,2/12/2016 16:00:00,102.01
META,2/16/2016 16:00:00,101.61
META,2/17/2016 16:00:00,105.2
META,2/18/2016 16:00:00,103.47
META,2/19/2016 16:00:00,104.57
META,2/22/2016 16:00:00,107.16
META,2/23/2016 16:00:00,105.46
META,2/24/2016 16:00:00,106.88
META,2/25/2016 16:00:00,108.07
META,2/26/2016 16:00:00,107.92
META,2/29/2016 16:00:00,106.92
META,3/1/2016 16:00:00,109.82
META,3/2/2016 16:00:00,109.95
META,3/3/2016 16:00:00,109.58
META,3/4/2016 16:00:00,108.39
META,3/7/2016 16:00:00,105.73
META,3/8/2016 16:00:00,105.93
META,3/9/2016 16:00:00,107.51
META,3/10/2016 16:00:00,107.32
META,3/11/2016 16:00:00,109.41
META,3/14/2016 16:00:00,109.89
META,3/15/2016 16:00:00,110.67
META,3/16/2016 16:00:00,112.18
META,3/17/2016 16:00:00,111.02
META,3/18/2016 16:00:00,111.45
META,3/21/2016 16:00:00,111.85
META,3/22/2016 16:00:00,112.25
META,3/23/2016 16:00:00,112.54
